,Weekly rank,Title,Country,Director,Distributor,Screens (week),Gross revenue (week),Tickets (week),Screens (all-time),Gross revenue (all-time),Tickets (all-time),Days since premiere,Week,Weekly drop (revenue)
200,1,Kong: A Ilha da Caveira,NOS Lusomundo Audiovisuais,Jordan Vogt-Roberts,EUA,77,301967.99,53229,77,301967.99,53229,7,11,
201,2,Logan,Big Picture 2 Films,James Mangold,EUA,83,250431.99,45420,135,710935.19,126864,14,11,-0.44982442106360343
202,3,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,59,81906.62,15101,243,2277036.54000004,421613,35,11,-0.5456917307712787
203,4,São Jorge,NOS Lusomundo Audiovisuais,Marco Martins,Portugal,25,74034.78,13578,25,74034.78,13578,7,11,
204,5,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,31,51449.02,9555,91,373544.490000001,69963,42,11,-0.24659717558618022
205,6,Rock Dog - Um Sonho Altamente!,Pris Audiovisuais,Ash Brannon,"EUA, China",54,47308.69,9506,76,124027.58,24771,14,11,-0.3828546508753432
206,7,John Wick 2,Pris Audiovisuais,Chad Stahelski,EUA,42,44771.86,8286,123,388011.070000002,73309,21,11,-0.5364571599432792
207,8,A Grande Muralha,NOS Lusomundo Audiovisuais,Yimou Zhang,"EUA, China",55,41223.88,7812,173,801144.199999994,145420,28,11,-0.6159562697156733
208,9,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"EUA, Dinamarca",66,39452.67,8419,218,630722.759999994,123876,28,11,-0.5136048282641923
209,10,Ouro,NOS Lusomundo Audiovisuais,Stephen Gaghan,EUA,39,31698.55,5929,70,112662.15,21064,14,11,-0.5996204935983083
210,11,Vedações,NOS Lusomundo Audiovisuais,Denzel Washington,EUA,32,30919.95,5901,63,226347.64,42851,21,11,-0.514209627054734
211,12,Um Reino Unido,Cinemundo,Amma Asante,"EUA, República Checa, Reino Unido",26,29425.5300000001,5484,26,29425.5300000001,5484,7,11,
212,13,A Autópsia de Jane Doe,NOS Lusomundo Audiovisuais,André Øvredal,"EUA, Reino Unido",15,28858.62,5490,15,28858.62,5490,7,11,
213,14,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,39,25342.39,4642,305,1430544.37,268251,49,11,-0.5923774042679877
214,15,Antes de Vos Deixar,Pris Audiovisuais,Ry Russo-Young,EUA,16,13714.73,2646,16,13714.73,2646,7,11,
215,16,Neruda,Alambique,Pablo Larraín,"EUA, França, Argentina, Espanha, Chile",13,11089.47,2172,13,11089.47,2172,7,11,
216,17,O Espaço Que Nos Une,Cinemundo,Peter Chelsom,EUA,27,10468.42,1984,49,43571.07,8302,14,11,-0.6783880724488756
217,18,T2 Trainspotting,Big Picture 2 Films,Danny Boyle,Reino Unido,21,10025.44,1708,93,136856.5,24915,21,11,-0.7235668431533337
218,19,Elementos Secretos,Big Picture 2 Films,Theodore Melfi,EUA,11,10025.21,1749,128,379054.910000001,70948,42,11,-0.5007191485758966
219,20,Um Instante de Amor,Outsider Films,Nicole Garcia,"França, Canadá, Bélgica",16,5835.11,1122,23,23440.4300000001,4512,14,11,-0.6354341344676002
220,1,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,EUA,152,839160.720000002,156727,152,839160.720000002,156727,7,12,
221,2,Kong: A Ilha da Caveira,NOS Lusomundo Audiovisuais,Jordan Vogt-Roberts,EUA,79,171702.72,31662,139,478069.55,85776,14,12,-0.43138767787936727
222,3,Logan,Big Picture 2 Films,James Mangold,EUA,74,138596.97,25927,179,853683.749999997,153636,21,12,-0.4465684276198101
223,4,São Jorge,NOS Lusomundo Audiovisuais,Marco Martins,Portugal,25,51916.79,9881,43,129067.38,24137,14,12,-0.2987513436252529
224,5,Collide - A Alta Velocidade,NOS Lusomundo Audiovisuais,Eran Creevy,"Alemanha, Reino Unido",28,49804.84,9732,28,49804.84,9732,7,12,
225,6,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,47,41996.78,7719,275,2321216.87000004,429720,42,12,-0.4872602483169248
226,7,Malapata,Cinemundo,Diogo Morgado,Portugal,25,36111.76,6857,26,36111.76,7431,7,12,
227,8,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,30,25039.66,4833,105,402817.180000002,75790,49,12,-0.5133112350828062
228,9,O Fundador,Pris Audiovisuais,John Lee Hancock,EUA,29,23725.22,4630,29,23725.22,4630,7,12,
229,10,Rock Dog - Um Sonho Altamente!,Pris Audiovisuais,Ash Brannon,"EUA, China",50,20744.98,4335,98,145118.96,29165,21,12,-0.5614974754109657
230,11,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"EUA, Dinamarca",52,19716.28,4272,246,651004.139999995,128312,35,12,-0.5002548623451848
231,12,John Wick 2,Pris Audiovisuais,Chad Stahelski,EUA,20,16852.11,3310,140,406075.700000002,76918,28,12,-0.6236004043611322
232,13,Um Reino Unido,Cinemundo,Amma Asante,"EUA, República Checa, Reino Unido",23,15189.44,2965,46,46824.63,8908,14,12,-0.48380063162838705
233,14,Aquarius,Midas Filmes,Kleber Mendonça Filho,"França, Brasil",11,14559.57,2972,11,15093.57,3266,7,12,
234,15,A Autópsia de Jane Doe,NOS Lusomundo Audiovisuais,André Øvredal,"EUA, Reino Unido",14,13512.17,2621,26,42936.0600000001,8240,14,12,-0.5317804524263461
235,16,A Grande Muralha,NOS Lusomundo Audiovisuais,Yimou Zhang,"EUA, China",25,9268.92000000001,2040,191,811698.219999994,147816,35,12,-0.7751565354838019
236,17,Neruda,Alambique,Pablo Larraín,"EUA, França, Argentina, Espanha, Chile",12,7641.41,1642,24,21196.19,4358,14,12,-0.31093100030930243
237,18,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,15,6946.54,1353,313,1440941.91,270263,56,12,-0.7258924671272126
238,19,Vedações,NOS Lusomundo Audiovisuais,Denzel Washington,EUA,10,6739.22,1342,69,234819.81,44545,28,12,-0.7820429851924081
239,20,Código de Família,NOS Lusomundo Audiovisuais,Adam Smith,Reino Unido,11,6648.5,1304,11,6648.5,1304,7,12,
240,1,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,EUA,133,724559.329999999,133957,179,1571502.43999999,292171,14,13,-0.13656667580913784
241,2,Vida Inteligente,Big Picture 2 Films,Daniel Espinosa,EUA,55,133118.67,25107,55,133118.67,25107,7,13,
242,3,Kong: A Ilha da Caveira,NOS Lusomundo Audiovisuais,Jordan Vogt-Roberts,EUA,69,127794.21,23529,174,609522.639999998,110012,21,13,-0.2557240211453843
243,4,Logan,Big Picture 2 Films,James Mangold,EUA,64,97266.4199999998,18160,219,953641.219999994,172323,28,13,-0.2982067356883791
244,5,Patrulha de Doidos,NOS Lusomundo Audiovisuais,Dax Shepard,EUA,30,63919.17,12508,30,63919.17,12508,7,13,
245,6,Power Rangers,Pris Audiovisuais,Dean Israelite,"EUA, Canadá",59,61936.8799999999,11942,59,61936.8799999999,11942,7,13,
246,7,São Jorge,NOS Lusomundo Audiovisuais,Marco Martins,Portugal,28,42445.06,7973,61,173856.76,32568,21,13,-0.18244059388109324
247,8,Collide - A Alta Velocidade,NOS Lusomundo Audiovisuais,Eran Creevy,"Alemanha, Reino Unido",27,33311.44,6477,48,84500.38,16494,14,13,-0.33116058599927223
248,9,Malapata,Cinemundo,Diogo Morgado,Portugal,27,30961.56,5873,47,68581.2999999999,13603,14,13,-0.14261836033469433
249,10,Médico de Província,Outsider Films,Thomas Lilti,França,9,21493.13,4047,9,21493.13,4047,7,13,
250,11,Aquarius,Midas Filmes,Kleber Mendonça Filho,"França, Brasil",14,19161.85,3692,20,36382.4,7455,14,13,0.3160999947113823
251,12,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,15,17851.09,3215,113,421740.450000002,79209,56,13,-0.2870873646047909
252,13,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"EUA, Dinamarca",46,17153.22,3475,258,670437.139999994,132337,42,13,-0.12999713941980928
253,14,Eusébio - História de uma Lenda,NOS Lusomundo Audiovisuais,Filipe Ascensão,Portugal,29,16594.01,2956,29,16594.01,2956,7,13,
254,15,Rock Dog - Um Sonho Altamente!,Pris Audiovisuais,Ash Brannon,"EUA, China",34,16352.32,3435,116,162620.51,32851,28,13,-0.21174568498017354
255,16,O Fundador,Pris Audiovisuais,John Lee Hancock,EUA,26,14490.12,2711,50,39139.29,7531,14,13,-0.38925244950310256
256,17,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,12,14052.1,2647,282,2336198.62000004,432613,49,13,-0.665400537850759
257,18,Rammstein: Paris,UCI,Jonas Åkerlund,Alemanha,7,8176.7,829,7,8176.7,829,1,13,
258,19,Um Homem Chamado Ove,Alambique,Hannes Holm,Suécia,5,7769.1,1473,6,7769.1,1639,7,13,
259,20,Vedações,NOS Lusomundo Audiovisuais,Denzel Washington,EUA,10,7455.61,1555,78,243291.52,46336,35,13,0.10630161947525085
260,1,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,EUA,138,437373.970000001,84329,244,2020693.31999997,378948,21,14,-0.3963586529208014
261,2,Smurfs: A Aldeia Perdida,Big Picture 2 Films,Kelly Asbury,EUA,111,292122.38,58475,111,292122.379999999,58475,7,14,
262,3,Ghost in the Shell - Agente do Futuro,NOS Lusomundo Audiovisuais,Rupert Sanders,EUA,92,279358.56,47926,92,279358.56,47926,7,14,
263,4,Kong: A Ilha da Caveira,NOS Lusomundo Audiovisuais,Jordan Vogt-Roberts,EUA,53,67051.74,12480,207,677321.179999996,122644,28,14,-0.47531472670005936
264,5,Vida Inteligente,Big Picture 2 Films,Daniel Espinosa,EUA,54,61126.5499999999,11421,92,194829.720000001,36654,14,14,-0.5408115931446739
265,6,100 Metros,Big Picture 2 Films,Marcel Barrena,"Portugal, Espanha",36,44517.8599999999,8472,37,44517.8599999999,9250,7,14,
266,7,Patrulha de Doidos,NOS Lusomundo Audiovisuais,Dax Shepard,EUA,32,41252.08,7887,49,105471.05,20452,14,14,-0.35462115668898697
267,8,Logan,Big Picture 2 Films,James Mangold,EUA,32,37309.91,7005,240,991405.529999994,179433,35,14,-0.6164153055083132
268,9,Power Rangers,Pris Audiovisuais,Dean Israelite,"EUA, Canadá",64,34500.61,6929,109,96774.2899999997,18934,14,14,-0.44297145739339705
269,10,Negação,NOS Lusomundo Audiovisuais,Mick Jackson,"EUA, Reino Unido",16,23032.16,4497,16,23032.16,4497,7,14,
270,11,São Jorge,NOS Lusomundo Audiovisuais,Marco Martins,Portugal,20,19807.6,3829,70,194750.23,36665,28,14,-0.5333355636674798
271,12,Médico de Província,Outsider Films,Thomas Lilti,França,9,12993.4,2415,13,34711.2800000001,6509,14,14,-0.3954626431794718
272,13,Malapata,Cinemundo,Diogo Morgado,Portugal,19,11630.87,2226,58,80629.3699999998,15919,21,14,-0.6243448327539052
273,14,Aquarius,Midas Filmes,Kleber Mendonça Filho,"França, Brasil",7,8533.81,1568,22,45071.82,9061,21,14,-0.5546458196885999
274,15,Collide - A Alta Velocidade,NOS Lusomundo Audiovisuais,Eran Creevy,"Alemanha, Reino Unido",14,7973.72,1525,58,93230.9799999999,18167,21,14,-0.7606311825607059
275,16,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,9,7178.48,1335,117,429082.930000003,81018,63,14,-0.5978688136130623
276,17,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"EUA, Dinamarca",23,6907.87,1458,268,677945.369999993,133918,49,14,-0.5972843582720913
277,18,A Criada,Alambique,Chan-wook Park,Coreia do Sul,10,5087.5,1004,10,5087.5,1004,7,14,
278,19,Eusébio - História de uma Lenda,NOS Lusomundo Audiovisuais,Filipe Ascensão,Portugal,24,4357.78,783,48,21786.2500000001,3886,14,14,-0.7373883708639443
279,20,Rock Dog - Um Sonho Altamente!,Pris Audiovisuais,Ash Brannon,"EUA, China",21,4236.57,1050,124,167160.18,34072,35,14,-0.7409193313242403
280,1,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,US,140,367744.91,72251,273,2395043.26999998,452696,28,15,-0.15919799708245297
281,2,Smurfs: A Aldeia Perdida,Big Picture 2 Films,Kelly Asbury,US,98,354443.23,71896,152,647274.509999997,130505,14,15,0.2133381564260841
282,3,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,60,184342.91,35027,60,184342.91,35027,7,15,
283,4,Ghost in the Shell - Agente do Futuro,NOS Lusomundo Audiovisuais,Rupert Sanders,US,95,176131.01,31034,144,457646.190000002,79456,14,15,-0.36951633055382294
284,5,Juntos Para Sempre,NOS Lusomundo Audiovisuais,Lasse Hallström,US,40,80529.13,15385,40,80529.1299999999,15385,7,15,
285,6,Kong: A Ilha da Caveira,NOS Lusomundo Audiovisuais,Jordan Vogt-Roberts,US,43,47802.99,8995,233,726945.169999995,132088,35,15,-0.2870730871413628
286,7,The Last Face - A Última Fronteira,Pris Audiovisuais,Sean Penn,US,23,34372.9200000001,6502,23,34372.92,6502,7,15,
287,8,Vida Inteligente,Big Picture 2 Films,Daniel Espinosa,US,36,30292.19,5620,118,226324.510000001,42556,21,15,-0.504434815967856
288,9,Dois é Uma Família,NOS Lusomundo Audiovisuais,Hugo Gélin,"FR, GB",24,25289.43,4861,24,25289.43,4861,7,15,
289,10,Patrulha de Doidos,NOS Lusomundo Audiovisuais,Dax Shepard,US,24,23599.08,4614,62,129770.23,25227,21,15,-0.4279299371086258
290,11,100 Metros,Big Picture 2 Films,Marcel Barrena,"PT, ES",37,23555.68,4448,60,69089.4399999998,13915,14,15,-0.47087124133999136
291,12,Power Rangers,Pris Audiovisuais,Dean Israelite,"US, CA",35,23402.64,4885,129,124699.41,24863,21,15,-0.3216746022751482
292,13,Logan,Big Picture 2 Films,James Mangold,US,25,23029.22,4406,250,1015788.06999999,184125,42,15,-0.38275862900768187
293,14,"Paula Rego, Histórias & Segredos",Midas Filmes,Nick Willing,GB,12,13481.27,2336,12,13481.27,2336,7,15,
294,15,São Jorge,NOS Lusomundo Audiovisuais,Marco Martins,PT,18,11644.73,2179,84,206747.059999999,38928,35,15,-0.4121079787556291
295,16,Negação,NOS Lusomundo Audiovisuais,Mick Jackson,"US, GB",14,9469.9,1783,29,32859.98,6364,14,15,-0.5888401261540386
296,17,Sonhos Cor de Rosa,Alambique,Marco Bellocchio,"FR, IT",8,6383.09,1244,9,6900.09,1458,7,15,
297,18,Malapata,Cinemundo,Diogo Morgado,PT,16,5808.14,1144,66,86674.8099999997,17114,28,15,-0.5006272101743034
298,19,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"US, DK",22,5638.44,1375,273,683669.309999994,135312,56,15,-0.18376576281835066
299,20,Médico de Província,Outsider Films,Thomas Lilti,FR,18,5520.48,1023,29,40615.62,7624,21,15,-0.5751319900872751
300,1,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,177,1994597.7,352781,177,1994597.7,352781,7,16,
301,2,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,104,663324.36,130599,104,663324.359999999,130599,7,16,
302,3,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,US,109,212095.670000001,41435,315,2611400.79000001,495439,35,16,-0.4232532817381456
303,4,Smurfs: A Aldeia Perdida,Big Picture 2 Films,Kelly Asbury,US,69,137273.08,27425,196,785336.839999994,158094,21,16,-0.6127078516917928
304,5,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,53,126979.65,23895,92,313237.370000001,59353,14,16,-0.3111769256544773
305,6,Ghost in the Shell - Agente do Futuro,NOS Lusomundo Audiovisuais,Rupert Sanders,US,64,79960.5899999998,14827,192,538170.480000004,94402,21,16,-0.5460163999513783
306,7,Jacinta,N/D,Jorge Paixão da Costa,PT,26,61214.22,11246,26,61214.2199999999,11246,7,16,
307,8,Juntos Para Sempre,NOS Lusomundo Audiovisuais,Lasse Hallström,US,41,45787.18,8779,74,126354.01,24170,14,16,-0.4314209032185
308,9,The Last Face - A Última Fronteira,Pris Audiovisuais,Sean Penn,US,22,20554.91,3843,40,54927.83,10345,14,16,-0.40200279755109725
309,10,Dois é Uma Família,NOS Lusomundo Audiovisuais,Hugo Gélin,"FR, GB",18,18255.36,3450,34,43785.99,8365,14,16,-0.2781426864899683
310,11,"Paula Rego, Histórias & Segredos",Midas Filmes,Nick Willing,GB,5,16294.31,2958,15,29775.58,5294,14,16,0.2086628336944516
311,12,Logan,Big Picture 2 Films,James Mangold,US,13,9703.11,1834,256,1025809.41999999,186090,49,16,-0.5786609359761208
312,13,100 Metros,Big Picture 2 Films,Marcel Barrena,"PT, ES",25,9600.53,1769,81,78729.2199999996,15690,21,16,-0.5924324833755594
313,14,Kong: A Ilha da Caveira,NOS Lusomundo Audiovisuais,Jordan Vogt-Roberts,US,16,7883.61,1633,247,735989.729999994,134107,42,16,-0.835081236550266
314,15,Power Rangers,Pris Audiovisuais,Dean Israelite,"US, CA",11,7593.88,1593,138,132293.29,26456,28,16,-0.6755118225977923
315,16,Vida Inteligente,Big Picture 2 Films,Daniel Espinosa,US,14,6368.12,1214,128,232744.480000001,43782,28,16,-0.7897768368678527
316,17,São Jorge,NOS Lusomundo Audiovisuais,Marco Martins,PT,10,6063.81,1214,93,212810.869999999,40237,42,16,-0.4792657279301452
317,18,Se Deus Quiser,Associação Il Sorpasso,Edoardo Maria Falcone,IT,3,4744.64,903,4,5622.84,1196,7,16,
318,19,Aquarius,Midas Filmes,Kleber Mendonça Filho,"FR, BR",4,4326.36,790,25,53932.43,10795,35,16,-0.4930330063594104
319,20,Negação,NOS Lusomundo Audiovisuais,Mick Jackson,"US, GB",5,4187.5,774,33,37047.48,7138,21,16,-0.5578094805647367
320,1,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,167,1061425.92,187820,215,3086668.37,547623,14,17,-0.46784962200648283
321,2,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,103,381271.04,75205,126,1056812.39999999,208576,14,17,-0.42521176216112433
322,3,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,US,85,98771.4499999998,18773,334,2719657.06000002,516404,42,17,-0.5343070888717374
323,4,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,54,95380.5599999998,18036,125,414491.510000004,78740,21,17,-0.2488516073244823
324,5,O Jardim da Esperança,NOS Lusomundo Audiovisuais,Niki Caro,"US, CZ, GB",39,75203.3,14351,39,75203.2999999999,14351,7,17,
325,6,Jacinta,NOS Lusomundo Audiovisuais,Jorge Paixão da Costa,PT,30,73434.99,13717,40,135243.41,25075,14,17,0.19963939751253879
326,7,Smurfs: A Aldeia Perdida,Big Picture 2 Films,Kelly Asbury,US,63,57078.65,12021,218,844638.089999993,170563,28,17,-0.5841963333233289
327,8,A Cabana,Pris Audiovisuais,Stuart Hazeldine,US,27,55939.25,10317,27,55939.25,10317,7,17,
328,9,Kickboxer: A Vingança,Cinemundo,John Stockwell,US,26,39900.03,7465,26,39900.03,7465,7,17,
329,10,A Ilha dos Cães,NOS Lusomundo Audiovisuais,Jorge António,"PT, AO",23,36646.59,7269,24,36646.59,8096,7,17,
330,11,Ghost in the Shell - Agente do Futuro,NOS Lusomundo Audiovisuais,Rupert Sanders,US,53,35870.99,6748,221,576619.220000002,101790,28,17,-0.5513916293013834
331,12,Juntos Para Sempre,NOS Lusomundo Audiovisuais,Lasse Hallström,US,34,16497.88,3179,100,145607.37,28014,21,17,-0.6396834223029241
332,13,"Paula Rego, Histórias & Segredos",Midas Filmes,Nick Willing,GB,5,12039.75,2135,17,42090.33,7504,21,17,-0.2611070981219824
333,14,O Jovem Karl Max,Films4you,Eyal Halfon,"FR, DE, BE",7,11517.47,2147,8,11708.97,2259,7,17,
334,15,Dois é Uma Família,NOS Lusomundo Audiovisuais,Hugo Gélin,"FR, GB",9,9677.88,1819,39,55022.03,10553,21,17,-0.46986090660496427
335,16,The Last Face - A Última Fronteira,Pris Audiovisuais,Sean Penn,US,9,7429.59,1361,45,63813.12,12053,21,17,-0.6385491349755362
336,17,Ma Loute,Leopardo Filmes,Bruno Dumont,"FR, DE",3,6546.6,1312,4,6556.6,1478,7,17,
337,18,Se Deus Quiser,Associação Il Sorpasso,Edoardo Maria Falcone,IT,2,5899.44,1089,6,13165.4,2639,14,17,0.2433904363660888
338,19,Logan,Big Picture 2 Films,James Mangold,US,9,4390.4,905,259,1032181.88999999,187452,56,17,-0.5475265146947732
339,20,Batalha Incerta,Cinemundo,James Franco,US,4,3792.47,705,4,3792.47,705,7,17,
340,1,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,137,585503.849999998,108226,262,3684243.84,658563,21,18,-0.4483799208521325
341,2,Guardiões da Galáxia Vol.2,NOS Lusomundo Audiovisuais,James Gunn,US,97,439062.050000001,74633,97,439062.050000002,74633,7,18,
342,3,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,81,258152.290000001,50994,165,1321024.80999999,260940,21,18,-0.3229166054678556
343,4,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",93,196511.39,39092,93,196511.39,39092,7,18,
344,5,O Círculo,NOS Lusomundo Audiovisuais,James Ponsoldt,"US, AE",44,131994.92,24571,44,131994.92,24571,7,18,
345,6,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,36,76357.58,14167,147,494218.290000006,93744,28,18,-0.19944294728401502
346,7,Jacinta,NOS Lusomundo Audiovisuais,Jorge Paixão da Costa,PT,31,66228.6999999999,12267,62,201472.11,37342,21,18,-0.09813155826670783
347,8,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,US,60,57106.31,10814,352,2779863.93000003,528403,49,18,-0.4218338396368574
348,9,Fátima,NOS Lusomundo Audiovisuais,João Canijo,"PT, FR",26,53458.79,9944,27,53458.79,10311,7,18,
349,10,O Jardim da Esperança,NOS Lusomundo Audiovisuais,Niki Caro,"US, CZ, GB",41,52044.11,9679,62,128627.91,24335,14,18,-0.30795443816960166
350,11,A Cabana,Pris Audiovisuais,Stuart Hazeldine,US,26,41206.74,7501,41,98906.7299999999,18196,14,18,-0.2633662410561458
351,12,O Jovem Karl Max,Films4you,Eyal Halfon,"FR, DE, BE",18,37088.62,6897,23,49266.41,9255,14,18,2.2202054791547106
352,13,Kickboxer: A Vingança,Cinemundo,John Stockwell,US,30,24762.1,4570,47,65458.47,12217,14,18,-0.3793964565941429
353,14,Smurfs: A Aldeia Perdida,Big Picture 2 Films,Kelly Asbury,US,31,21387.61,4744,241,867680.199999992,175972,35,18,-0.6252957979910176
354,15,Ghost in the Shell - Agente do Futuro,NOS Lusomundo Audiovisuais,Rupert Sanders,US,22,16346.35,3048,231,593924.590000002,105062,35,18,-0.544301676647341
355,16,"Paula Rego, Histórias & Segredos",Midas Filmes,Nick Willing,GB,5,8788.75,1579,23,55299.08,10440,28,18,-0.27002221806931204
356,17,Dois é Uma Família,NOS Lusomundo Audiovisuais,Hugo Gélin,"FR, GB",3,8122.62,1505,41,63913.01,12226,28,18,-0.1607025505585934
357,18,Juntos Para Sempre,NOS Lusomundo Audiovisuais,Lasse Hallström,US,8,5869.56,1099,101,152058.25,29242,28,18,-0.6442233790038477
358,19,Se Deus Quiser,Associação Il Sorpasso,Edoardo Maria Falcone,IT,2,5834.46,1032,7,19320.46,3740,21,18,-0.011014604776046433
359,20,Ma Loute,Leopardo Filmes,Bruno Dumont,"FR, DE",2,5271.19,955,4,12359.49,2542,14,18,-0.19482021201845245
360,1,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,108,229945.390000001,42142,278,3923338.65000001,703301,28,19,-0.6072692092460164
361,2,Guardiões da Galáxia Vol.2,NOS Lusomundo Audiovisuais,James Gunn,US,88,185872.72,31813,122,630009.300000002,107394,14,19,-0.576659563266742
362,3,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,83,116591.9,23148,183,1440644.56999999,284651,28,19,-0.5483600009901151
363,4,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",75,93698.8000000001,18502,112,292383.220000001,58005,14,19,-0.5231889612098306
364,5,Foge,NOS Lusomundo Audiovisuais,Jordan Peele,US,34,60132.6100000001,11360,34,60132.61,11360,7,19,
365,6,A Cidade Perdida de Z ,NOS Lusomundo Audiovisuais,James Gray,US,34,57595.69,10743,34,57595.69,10743,7,19,
366,7,O Círculo,NOS Lusomundo Audiovisuais,James Ponsoldt,"US, AE",39,54145.42,10171,64,188036.44,35085,14,19,-0.5897916374357438
367,8,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,33,32296.68,6115,163,528296.420000006,100425,35,19,-0.5770337404616542
368,9,Fátima,NOS Lusomundo Audiovisuais,João Canijo,"PT, FR",31,31429.38,5827,44,85775.53,16305,14,19,-0.4120820916447978
369,10,Jacinta,NOS Lusomundo Audiovisuais,Jorge Paixão da Costa,PT,40,25780.76,5083,81,227978.87,42554,28,19,-0.6107312992705574
370,11,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,27,24959.94,4669,30,27706.7400000001,5498,7,19,
371,12,O Jardim da Esperança,NOS Lusomundo Audiovisuais,Niki Caro,"US, CZ, GB",33,19736.73,3825,83,149031.84,28285,21,19,-0.6207691898276289
372,13,O Jovem Karl Max,Films4you,Eyal Halfon,"FR, DE, BE",12,16049.51,3070,29,65760.39,12408,21,19,-0.5672659160680553
373,14,A Cabana,Pris Audiovisuais,Stuart Hazeldine,US,19,15816.56,2960,52,115216.64,21243,21,19,-0.6161657049307954
374,15,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,US,39,14776.99,2719,362,2796439.22000004,531611,56,19,-0.7412371767673309
375,16,"Francisco, O Papa do Povo",NOS Lusomundo Audiovisuais,Daniele Luchetti,IT,25,11099.12,2066,25,11099.12,2066,7,19,
376,17,A Escolha do Rei,Alambique,Erik Poppe,NO,4,6044.68,1109,4,6044.67999999999,1109,7,19,
377,18,Brimstone - Castigo,Cinemundo,Martin Koolhoven,"FR, DE, NL, SE, BE, GB",12,5182.51,954,12,5182.50999999999,954,7,19,
378,19,Dois é Uma Família,NOS Lusomundo Audiovisuais,Hugo Gélin,"FR, GB",3,4558.26,861,42,68564.4699999999,13111,35,19,-0.43881900175066657
379,20,Kickboxer: A Vingança,Cinemundo,John Stockwell,US,16,4463.52,845,57,70222.4399999999,13115,21,19,-0.8197438827886164
380,1,Rei Artur: A Lenda da Espada,NOS Lusomundo Audiovisuais,Guy Ritchie,US,97,282406.45,51643,97,282406.45,51643,7,20,
381,2,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,75,161870.0,30273,295,4086556.35000002,733967,35,20,-0.2960502491482899
382,3,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,75,123658.35,24625,216,1564374.81999999,309290,35,20,0.060608412762807706
383,4,Guardiões da Galáxia Vol.2,NOS Lusomundo Audiovisuais,James Gunn,US,76,118455.17,21689,178,748706.570000001,129138,21,20,-0.3627081478121158
384,5,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",74,99328.8799999999,19612,144,391728.100000001,77619,21,20,0.060087002181455906
385,6,Foge,NOS Lusomundo Audiovisuais,Jordan Peele,US,35,47129.17,8829,59,107551.78,20254,14,20,-0.21624606016602443
