,Weekly rank,Title,Country,Director,Distributor,Screens (week),Gross revenue (week),Tickets (week),Screens (all-time),Gross revenue (all-time),Tickets (all-time),Days since premiere,Week,Weekly drop (revenue)
966,7,A Montanha Entre Nós,Big Picture 2 Films,Hany Abu-Assad,US,37,108487.39,19881,37,108487.39,19881,7,49,
967,8,Só Para Bravos,Pris Audiovisuais,Joseph Kosinski,US,54,45122.15,8373,102,121445.43,22776,14,49,-0.40001648812290114
968,9,O Homem do Coração de Ferro,NOS Lusomundo Audiovisuais,Cédric Jimenez,"US, FR, BE, GB",24,35128.57,6426,43,84021.4899999999,15486,14,49,-0.2534656394264393
969,10,O Espírito da Festa,NOS Lusomundo Audiovisuais,"Olivier Nakache, Eric Toledano","FR, CA, BE",16,24394.38,4521,30,57087.1500000001,10727,14,49,-0.20962061473282578
970,11,Mães à Solta 2,Cinemundo,"Jon Lucas, Scott Moore","US, CN",22,17873.14,3335,109,203189.42,38243,28,49,-0.5499954806032274
971,12,O Quadrado,Alambique,Ruben Östlund,"FR, DE, SE, DK",10,17800.9,3244,21,39585.9600000001,7431,14,49,-0.10363292300596094
972,13,Thor: Ragnarok ,NOS Lusomundo Audiovisuais,Taika Waititi,US,25,13564.01,2538,281,1126985.09999999,197436,42,49,-0.680204448323609
973,14,Rapto,NOS Lusomundo Audiovisuais,Luis Prieto,US,16,12660.17,2380,43,62596.19,11933,21,49,-0.4353265829153349
974,15,O Gangue do Parque 2,Outsider Films,Cal Brunker,"US, CA, KR",40,8733.8,1921,213,376549.780000002,76908,36,49,-0.6495645938984966
975,16,Sete Irmãs,NOS Lusomundo Audiovisuais,Tommy Wirkola,"US, FR, BE, GB",9,7303.62,1371,96,225953.51,42343,36,49,-0.3695400527770081
976,17,Lucky,Alambique,John Carroll Lynch,US,6,6626.56,1318,6,6626.56,1318,7,49,
977,18,Jigsaw: O Legado de Saw,Pris Audiovisuais,"Michael Spierig, Peter Spierig","US, CA",8,6238.2,1162,149,491391.700000004,91550,42,49,-0.5717336815374254
978,19,Gauguin,Cinemundo,Edouard Deluc,FR,6,5084.33,876,10,15236.28,2710,14,49,-0.37612903621627924
979,20,A Paixão de Van Gogh,Outsider Films,"Dorota Kobiela, Hugh Welchman","GB, PL",6,3217.13,546,51,116973.199999999,21848,49,49,-0.3424256298518933
980,1,Coco,NOS Lusomundo Audiovisuais,"Lee Unkrich, Adrian Molina",US,121,235428.65,48908,219,802963.199999996,159947,21,50,-0.19772978342771685
981,2,A Estrela de Natal,Big Picture 2 Films,Timothy Reckart,US,90,203707.55,41547,127,377440.26,76195,14,50,0.1765562556425102
982,3,Paddington 2,NOS Lusomundo Audiovisuais,Paul King,"US, GB",140,193917.69,37689,140,193917.69,37689,7,50,
983,4,O Fim da Inocência,NOS Lusomundo Audiovisuais,Joaquim Leitão,PT,51,119117.72,21757,88,258873.87,48276,14,50,-0.12898710639327815
984,5,Wonder - Encantador,Pris Audiovisuais,Stephen Chbosky,"US, HK",59,118665.54,22269,59,118665.54,22269,7,50,
985,6,Liga da Justiça,NOS Lusomundo Audiovisuais,Zack Snyder,US,86,111748.32,20175,257,1105061.44999999,190675,28,50,-0.42988724454164307
986,7,Pai Há Só Um... Ou Dois,NOS Lusomundo Audiovisuais,Sean Anders,US,72,104167.08,19586,122,249088.19,46751,14,50,-0.2632788046294574
987,8,Um Crime no Expresso do Oriente,Big Picture 2 Films,Kenneth Branagh,"US, MT",48,90118.78,16579,199,911770.400000001,169151,35,50,-0.304799003809463
988,9,A Montanha Entre Nós,Big Picture 2 Films,Hany Abu-Assad,US,34,84984.3099999998,15623,64,196033.029999999,35948,14,50,-0.21664342740663411
989,10,Star Wars: Episódio VIII - Os Últimos Jedi,NOS Lusomundo Audiovisuais,Rian Johnson,US,89,81475.53,12808,89,81475.53,12808,0,50,
990,11,24 Horas Para Viver,NOS Lusomundo Audiovisuais,Brian Smrz,"HK, ZA",20,38442.45,7172,20,38442.4499999999,7172,7,50,
991,12,A Casa Torta,NOS Lusomundo Audiovisuais,Gilles Paquet-Brenner,GB,23,35350.28,6448,23,35350.28,6448,7,50,
992,13,Leatherface - A Origem do Mal,NOS Lusomundo Audiovisuais,"Alexandre Bustillo, Julien Maury",US,33,34968.95,6450,33,34968.95,6450,7,50,
993,14,O Quadrado,Alambique,Ruben Östlund,"FR, DE, SE, DK",10,12519.79,2320,29,53080.5,10106,21,50,-0.2966765725328495
994,15,O Espírito da Festa,NOS Lusomundo Audiovisuais,"Olivier Nakache, Eric Toledano","FR, CA, BE",7,11535.82,2076,35,69694.3200000001,12997,21,50,-0.5271115724195492
995,16,Só Para Bravos,Pris Audiovisuais,Joseph Kosinski,US,32,10228.96,2195,124,132059.29,25046,21,50,-0.7733051284125424
996,17,O Homem do Coração de Ferro,NOS Lusomundo Audiovisuais,Cédric Jimenez,"US, FR, BE, GB",19,9810.06,1798,57,94959.2499999999,17475,21,50,-0.7207384188994883
997,18,120 Batimentos Por Minuto,Midas Filmes,Robin Campillo,FR,10,8967.13,1777,11,8967.13,2136,7,50,
998,19,Derradeira Viagem,Cinemundo,Richard Linklater,US,10,8498.27,1680,11,8498.27,1890,7,50,
999,20,Lucky,Alambique,John Carroll Lynch,US,7,4304.0,809,10,11174.56,2191,14,50,-0.35049256326057565
1000,1,Star Wars: Episódio VIII - Os Últimos Jedi,NOS Lusomundo Audiovisuais,Rian Johnson,US,209,1045631.5,164816,217,1137309.15,179621,7,51,11.833687611482858
1001,2,A Estrela de Natal,Big Picture 2 Films,Timothy Reckart,US,171,239873.380000001,51751,219,625303.279999998,129558,21,51,0.1775379950325897
1002,3,Coco,NOS Lusomundo Audiovisuais,"Lee Unkrich, Adrian Molina",US,133,218606.750000001,44519,273,1029540.18999999,206100,28,51,-0.07145222129931517
1003,4,Paddington 2,NOS Lusomundo Audiovisuais,Paul King,"US, GB",116,183623.92,37008,220,383999.1,76077,14,51,-0.053083192152299175
1004,5,Entre Rivais,NOS Lusomundo Audiovisuais,Ron Shelton,US,45,88870.38,16734,45,88870.3799999999,16734,7,51,
1005,6,O Fim da Inocência,NOS Lusomundo Audiovisuais,Joaquim Leitão,PT,49,83089.23,15269,116,346242.960000001,64415,21,51,-0.30246121232004786
1006,7,Wonder - Encantador,Pris Audiovisuais,Stephen Chbosky,"US, HK",50,72400.3399999999,13588,104,196426.69,36849,14,51,-0.3898789825588802
1007,8,Roda Gigante,NOS Lusomundo Audiovisuais,Woody Allen,US,33,60216.4100000001,10991,33,60216.4100000001,10991,7,51,
1008,9,Pai Há Só Um... Ou Dois,NOS Lusomundo Audiovisuais,Sean Anders,US,63,57529.58,11156,168,311095.65,59091,21,51,-0.4477182234540893
1009,10,Um Crime no Expresso do Oriente,Big Picture 2 Films,Kenneth Branagh,"US, MT",30,44547.49,8132,209,960188.010000001,178030,42,51,-0.5056802810690513
1010,11,Liga da Justiça,NOS Lusomundo Audiovisuais,Zack Snyder,US,50,43201.17,7999,283,1151305.95999999,199359,35,51,-0.6134065371184104
1011,12,A Montanha Entre Nós,Big Picture 2 Films,Hany Abu-Assad,US,32,42467.5,7831,83,243063.01,44640,21,51,-0.5002901123748595
1012,13,Leatherface - A Origem do Mal,NOS Lusomundo Audiovisuais,"Alexandre Bustillo, Julien Maury",US,29,15548.36,2864,51,50914.21,9385,14,51,-0.5553666895917664
1013,14,A Casa Torta,NOS Lusomundo Audiovisuais,Gilles Paquet-Brenner,GB,19,15324.48,2784,36,54377.8700000001,9889,14,51,-0.5664962201148054
1014,15,24 Horas Para Viver,NOS Lusomundo Audiovisuais,Brian Smrz,"HK, ZA",20,14769.31,2778,36,54389.7799999999,10162,14,51,-0.6158072651456918
1015,16,My Little Pony: The Movie - A Magia do Póneis,Pris Audiovisuais,Jayson Thiessen,"US, CA",53,14129.87,2734,53,14129.87,2734,7,51,
1016,17,O Homem Que Inventou o Natal,Cinemundo,Bharat Nalluri,"CA, IE",18,10632.41,2058,18,10632.41,2058,7,51,
1017,18,O Quadrado,Alambique,Ruben Östlund,"FR, DE, SE, DK",7,8030.96,1513,31,64538.5800000001,12265,28,51,-0.3585387614328994
1018,19,O Espírito da Festa,NOS Lusomundo Audiovisuais,"Olivier Nakache, Eric Toledano","FR, CA, BE",7,5489.21,970,39,78778.13,14624,28,51,-0.5241595309219458
1019,20,O Gangue do Parque 2,Outsider Films,Cal Brunker,"US, CA, KR",15,3907.2,874,225,382436.660000002,78172,50,51,-0.5526345920446999
1020,1,Star Wars: Episódio VIII - Os Últimos Jedi,NOS Lusomundo Audiovisuais,Rian Johnson,US,152,654875.969999998,101730,254,1801521.58,283436,14,52,-0.37370290585163324
1021,2,Jumanji: Bem-Vindos à Selva,Big Picture 2 Films,Jake Kasdan,US,68,419721.79,77384,68,419721.79,77384,7,52,
1022,3,Ferdinando,Big Picture 2 Films,Carlos Saldanha,US,104,387049.22,77121,104,387049.22,77121,7,52,
1023,4,Coco,NOS Lusomundo Audiovisuais,"Lee Unkrich, Adrian Molina",US,80,179032.33,35236,300,1211759.06999999,242116,35,52,-0.18103018319425557
1024,5,A Estrela de Natal,Big Picture 2 Films,Timothy Reckart,US,77,130521.2,27265,246,758723.979999996,157403,28,52,-0.45587459517183837
1025,6,Paddington 2,NOS Lusomundo Audiovisuais,Paul King,"US, GB",73,89466.26,17878,264,473161.46,93838,21,52,-0.5127744794904716
1026,7,Um Ritmo Perfeito 3,NOS Lusomundo Audiovisuais,Trish Sie,US,42,66939.36,12576,42,66939.36,12576,7,52,
1027,8,Entre Rivais,NOS Lusomundo Audiovisuais,Ron Shelton,US,40,44068.24,8284,72,132938.62,25018,14,52,-0.504129047270868
1028,9,Wonder - Encantador,Pris Audiovisuais,Stephen Chbosky,"US, HK",41,43279.99,8111,128,239771.18,44980,21,52,-0.4022128901604597
1029,10,O Fim da Inocência,NOS Lusomundo Audiovisuais,Joaquim Leitão,PT,38,42970.19,7860,137,389864.350000002,72427,28,52,-0.48284284256816434
1030,11,Roda Gigante,NOS Lusomundo Audiovisuais,Woody Allen,US,30,33867.11,6162,49,96552.0199999999,17674,14,52,-0.4375767336511768
1031,12,Pai Há Só Um... Ou Dois,NOS Lusomundo Audiovisuais,Sean Anders,US,38,24980.59,4881,186,336357.39,64030,28,52,-0.5657783352494491
1032,13,Um Crime no Expresso do Oriente,Big Picture 2 Films,Kenneth Branagh,"US, MT",16,22717.37,4111,212,983088.530000002,182183,49,52,-0.49004152646984156
1033,14,A Montanha Entre Nós,Big Picture 2 Films,Hany Abu-Assad,US,19,15119.05,2790,94,258261.96,47448,28,52,-0.6439854006004592
1034,15,A Partir de Uma História Verdadeira,Pris Audiovisuais,Roman Polanski,"FR, BE, PL",16,13888.45,2696,16,13888.45,2696,7,52,
1035,16,O Meu Belo Sol Interior,Midas Filmes,Claire Denis,"FR, BE",9,13106.86,2464,9,13106.86,2464,7,52,
1036,17,Liga da Justiça,NOS Lusomundo Audiovisuais,Zack Snyder,US,16,12150.78,2217,290,1163494.23999999,201585,41,52,-0.7187395619146426
1037,18,Tiger Zinda Hai,NOS Lusomundo Cinemas,Ali Abbas Zafar,IN,1,8109.86000000001,1429,1,8109.86000000001,1429,6,52,
1038,19,My Little Pony: The Movie - A Magia do Póneis,Pris Audiovisuais,Jayson Thiessen,"US, CA",46,6462.36,1256,83,20592.23,3990,14,52,-0.5426454737375503
1039,20,O Homem Que Inventou o Natal,Cinemundo,Bharat Nalluri,"CA, IE",15,5821.7,1106,29,16454.11,3164,14,52,-0.452457156938079
