,Weekly change (revenue),Title,Weekly change (no. of screens),Days since premiere,Holidays
117,-0.5796882715386762,Porquê Ele?,-5.0,49,2
413,-0.5796365033939052,A Cidade Perdida de Z ,-15.0,21,2
471,-0.578798213408895,Velocidade Furiosa 8,-17.0,63,2
311,-0.5786609359761208,Logan,-12.0,49,3
72,-0.5783149829706337,Rogue One: Uma História de Star Wars,-26.0,42,2
639,-0.5774877569481269,Pedras Sombrias,1.0,14,2
899,-0.5772984368228604,Alguém Como Eu,-27.0,28,2
367,-0.5770337404616542,Ladrões Com Muito Estilo,-3.0,35,2
361,-0.576659563266742,Guardiões da Galáxia Vol.2,-9.0,14,2
575,-0.5765727730043806,A Vida em Espera,0.0,14,2
138,-0.5760782562243298,Beleza Colateral,-8.0,56,3
572,-0.5759559720305483,Mulher-Maravilha,-13.0,49,2
745,-0.5758105477325358,Renegados,-1.0,14,2
299,-0.5751319900872751,Médico de Província,9.0,21,2
52,-0.5751193926460101,Vaiana,-23.0,56,2
149,-0.5736546860201117,Silêncio,-32.0,35,2
977,-0.5717336815374254,Jigsaw: O Legado de Saw,-13.0,42,3
431,-0.5698981527147606,O Círculo,-11.0,35,2
372,-0.5672659160680553,O Jovem Karl Max,-6.0,21,2
533,-0.5672533934681883,O Muro,-1.0,14,2
1013,-0.5664962201148054,A Casa Torta,-4.0,14,2
428,-0.5660505315478849,Conspiração Terrorista,0.0,14,2
1031,-0.5657783352494491,Pai Há Só Um... Ou Dois,-25.0,28,3
799,-0.5652832173265177,Reviver o Passado em Montauk,-2.0,21,2
707,-0.5644362417257782,Um Voo em Grande,-1.0,14,2
694,-0.5640736232544254,Valerian e a Cidade dos Mil Planetas,-16.0,35,2
705,-0.5630929512587586,A Torre Negra,-9.0,21,2
423,-0.5625560568763175,Velocidade Furiosa 8,-3.0,49,2
928,-0.5624311867025901,Sete Irmãs,-10.0,22,2
229,-0.5614974754109657,Rock Dog - Um Sonho Altamente!,-4.0,21,2
131,-0.5607105037720858,Patriots Day - Unidos Por Boston,1.0,14,3
490,-0.5598753830519381,Alien: Covenant,-19.0,35,3
466,-0.559668600909617,Rei Artur: A Lenda da Espada,-28.0,35,2
675,-0.559400285691801,Homem-Aranha: Regresso a Casa,-7.0,49,2
953,-0.5591469867762249,Sete Irmãs,-18.0,29,2
688,-0.5589096475013886,Atomic Blonde - Agente Especial,-17.0,21,2
746,-0.5587492224759392,Sorte à Logan,-9.0,14,2
573,-0.5579157099046717,Girls Night,-8.0,35,2
319,-0.5578094805647367,Negação,-9.0,21,3
1012,-0.5553666895917664,Leatherface - A Origem do Mal,-4.0,14,2
273,-0.5546458196885999,Aquarius,-7.0,21,2
397,-0.553285675995973,O Jardim da Esperança,-18.0,28,2
1019,-0.5526345920446999,O Gangue do Parque 2,-25.0,50,2
849,-0.5516159658675318,Kingsman: O Círculo Dourado,-25.0,35,2
330,-0.5513916293013834,Ghost in the Shell - Agente do Futuro,-11.0,28,3
464,-0.551228130909301,Alien: Covenant,-16.0,28,2
574,-0.5501508678454529,Paris Pode Esperar,-5.0,21,2
970,-0.5499954806032274,Mães à Solta 2,-20.0,28,3
458,-0.5489075138627462,Ladrões Com Muito Estilo,-5.0,63,2
492,-0.5483649583041647,Rei Artur: A Lenda da Espada,-16.0,42,3
362,-0.5483600009901151,The Boss Baby,2.0,28,2
922,-0.5478810583869953,Thor: Ragnarok ,-11.0,28,2
338,-0.5475265146947732,Logan,-4.0,56,3
305,-0.5460163999513783,Ghost in the Shell - Agente do Futuro,-31.0,21,3
202,-0.5456917307712787,As Cinquenta Sombras Mais Negras,-20.0,35,2
90,-0.5443535568687086,Passageiros,-19.0,42,2
354,-0.544301676647341,Ghost in the Shell - Agente do Futuro,-31.0,35,3
653,-0.5442557705307867,Homem-Aranha: Regresso a Casa,-21.0,42,3
735,-0.5440924644684906,Índice Médio de Felicidade,0.0,14,2
1038,-0.5426454737375503,My Little Pony: The Movie - A Magia do Póneis,-7.0,14,3
57,-0.5416405134392304,Ovelhas e Lobos,-2.0,14,2
62,-0.5408123964096725,Assassin's Creed,-1.0,21,2
264,-0.5408115931446739,Vida Inteligente,-1.0,14,2
826,-0.5403110458054614,It,-12.0,35,2
935,-0.5397781610568133,Um Susto de Família,-18.0,42,2
831,-0.539649178402662,Barry Seal: Traficante Americano,-18.0,49,2
956,-0.5368403945682882,Bob O Construtor: Mega Mechines - O Filme,-2.0,14,2
206,-0.5364571599432792,John Wick 2,-15.0,21,2
913,-0.5351978623184099,Blade Runner 2049,-22.0,42,2
728,-0.5346361930662599,A Torre Negra,-19.0,28,2
941,-0.5343971714199444,Liga da Justiça,-7.0,14,2
322,-0.5343070888717374,A Bela e o Monstro,-24.0,42,3
425,-0.533980692892518,Perdidos,-1.0,14,2
270,-0.5333355636674798,São Jorge,-8.0,28,2
234,-0.5317804524263461,A Autópsia de Jane Doe,-1.0,14,2
994,-0.5271115724195492,O Espírito da Festa,-9.0,21,3
709,-0.5263406432380863,De Braços Abertos,-5.0,35,2
1018,-0.5241595309219458,O Espírito da Festa,0.0,28,2
618,-0.5241393964458889,Debaixo do Mesmo Teto,-2.0,14,2
415,-0.5238525903047415,Música a Música,1.0,14,2
363,-0.5231889612098306,Bailarina,-18.0,14,2
671,-0.5221708202779922,Valerian e a Cidade dos Mil Planetas,-19.0,28,2
630,-0.5203012930504733,Olha Que Duas,-4.0,14,2
773,-0.5196189954087577,Detroit,-3.0,14,2
607,-0.5195102729440672,Homem-Aranha: Regresso a Casa,-12.0,28,2
668,-0.5189666847668002,Carros 3,-23.0,35,2
910,-0.5185738569522302,Stronger - A Força de Viver,-3.0,15,2
897,-0.5172673010614264,Amor de Improviso,-10.0,14,2
532,-0.5164980689666341,Amor Acima de Tudo,-10.0,21,2
701,-0.5163913900314144,O Guarda-Costas e o Assassino,-9.0,14,2
145,-0.5155981169831247,Rings,-3.0,14,2
714,-0.5149234884583891,Dunkirk,-7.0,49,2
210,-0.514209627054734,Vedações,8.0,21,2
208,-0.5136048282641923,Lego Batman: O Filme,-6.0,28,2
227,-0.5133112350828062,Moonlight,-1.0,49,2
1025,-0.5127744794904716,Paddington 2,-43.0,21,3
562,-0.510811250483488,Homem-Aranha: Regresso a Casa,-20.0,14,2
493,-0.5107571267480868,A Odisseia,-1.0,14,3
181,-0.5087749412897298,As Cinquenta Sombras Mais Negras,-8.0,28,2
698,-0.508284023668639,Dois é Demais... ou Talvez Não!,-1.0,14,2
188,-0.5080751456443044,Vedações,-1.0,14,2
738,-0.5069345157375034,Gru - O Maldisposto 3,-1.0,77,2
1009,-0.5056802810690513,Um Crime no Expresso do Oriente,-18.0,42,2
651,-0.5053810418805551,Planeta dos Macacos: A Guerra,-20.0,35,3
287,-0.504434815967856,Vida Inteligente,-18.0,21,2
1027,-0.504129047270868,Entre Rivais,-5.0,14,3
743,-0.5034187020140689,O Guarda-Costas e o Assassino,-20.0,28,2
399,-0.5014309409426412,A Bela e o Monstro,-14.0,63,2
727,-0.5012275890121269,Dia de Surf 2,3.0,14,2
218,-0.5007191485758966,Elementos Secretos,-7.0,42,2
297,-0.5006272101743034,Malapata,-3.0,28,2
1011,-0.5002901123748595,A Montanha Entre Nós,-2.0,21,2
230,-0.5002548623451848,Lego Batman: O Filme,-14.0,35,2
909,-0.49858135941147186,Peregrinação,-3.0,15,2
526,-0.49629338588246386,Mulher-Maravilha,-28.0,35,2
318,-0.4930330063594104,Aquarius,-3.0,35,3
876,-0.49248371271114666,Vitória & Abdul,-6.0,35,3
472,-0.49167002128614656,Escritos Secretos,0.0,14,2
538,-0.4912802694463304,In Memoriam,1.0,14,2
939,-0.4902539381721286,O Estrangeiro,-10.0,42,2
1032,-0.49004152646984156,Um Crime no Expresso do Oriente,-14.0,49,3
225,-0.4872602483169248,As Cinquenta Sombras Mais Negras,-12.0,42,2
647,-0.4863219177053756,Gru - O Maldisposto 3,-14.0,49,3
866,-0.48613809930147656,Blade Runner 2049,-33.0,28,3
842,-0.4839600163945994,Blade Runner 2049,-14.0,21,2
232,-0.48380063162838705,Um Reino Unido,-3.0,14,2
591,-0.48295007184101024,Transformers: O Último Cavaleiro,-30.0,35,2
1029,-0.48284284256816434,O Fim da Inocência,-11.0,28,3
925,-0.48212145242287974,Jigsaw: O Legado de Saw,-9.0,28,2
649,-0.4799607199960154,Dunkirk,-24.0,28,3
316,-0.4792657279301452,São Jorge,-8.0,42,3
652,-0.478573938267134,2:22 - Hora Fatídica,0.0,14,3
774,-0.478260417669937,Reviver o Passado em Montauk,0.0,14,2
73,-0.4776777934706301,Miss Sloane - Uma Mulher de Armas,5.0,14,2
116,-0.4767646460443812,Beleza Colateral,-10.0,49,2
144,-0.4765115310760457,Fragmentado,-9.0,21,2
585,-0.4758847780132689,Homem-Aranha: Regresso a Casa,-11.0,21,2
263,-0.47531472670005936,Kong: A Ilha da Caveira,-16.0,28,2
702,-0.4748777109190788,Emoji: O Filme,-4.0,28,2
759,-0.47409155983711004,Dunkirk,-6.0,63,2
645,-0.47381194020707096,Carros 3,-16.0,28,3
554,-0.4733309985390708,Churchill,-9.0,28,2
904,-0.4726924819881334,Jigsaw: O Legado de Saw,-6.0,21,2
544,-0.472462132276285,Transformers: O Último Cavaleiro,-21.0,21,2
75,-0.4722466082646892,Vaiana,-8.0,63,2
674,-0.472113640745111,Planeta dos Macacos: A Guerra,-7.0,42,2
445,-0.4716237884109168,Velocidade Furiosa 8,-15.0,56,2
290,-0.47087124133999136,100 Metros,1.0,14,2
828,-0.4707636054873192,Vitória & Abdul,-5.0,21,2
888,-0.4706949569622807,O Boneco de Neve,-30.0,21,2
387,-0.47054423690383784,A Cidade Perdida de Z ,-2.0,14,2
334,-0.46986090660496427,Dois é Uma Família,-9.0,21,3
650,-0.4698505750862513,Assalto ao Shopping,0.0,14,3
584,-0.468920353141023,Planeta dos Macacos: A Guerra,-19.0,14,2
548,-0.46867007685251005,Mulher-Maravilha,-7.0,42,2
320,-0.46784962200648283,Velocidade Furiosa 8,-10.0,14,3
489,-0.46749567661723146,A Missão,1.0,14,3
855,-0.4665805581195881,Barry Seal: Traficante Americano,-9.0,56,2
772,-0.46574907369151775,First Kill - Caça ao Homem,3.0,14,2
760,-0.4656296706475156,It,-8.0,14,2
443,-0.46475079770276684,Alien: Covenant,-1.0,21,2
140,-0.4644732975543536,As Cinquenta Sombras Mais Negras,-26.0,14,2
724,-0.4635653195094127,Emoji: O Filme,-1.0,35,2
629,-0.46351021560031613,Homem-Aranha: Regresso a Casa,-18.0,35,2
664,-0.46237878394171184,Atomic Blonde - Agente Especial,-15.0,14,2
97,-0.46210355570595396,Miss Sloane - Uma Mulher de Armas,-14.0,21,2
824,-0.46093630596032165,Kingsman: O Círculo Dourado,-7.0,28,2
440,-0.45930092965537306,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-7.0,14,2
648,-0.4568846938588116,Valerian e a Cidade dos Mil Planetas,-20.0,21,3
625,-0.45606588752753396,Valerian e a Cidade dos Mil Planetas,-15.0,14,2
1024,-0.45587459517183837,A Estrela de Natal,-94.0,28,3
808,-0.455343306933652,Mãe!,-12.0,21,3
30,-0.454258673822694,Bleed for This - A Força de Um Campeão ,0.0,14,2
670,-0.452551407852817,Dunkirk,-13.0,35,2
1039,-0.452457156938079,O Homem Que Inventou o Natal,-3.0,14,3
706,-0.4519958536801951,Baby Driver - Alta Velocidade,-6.0,35,2
549,-0.4509358100969787,Girls Night,-12.0,28,2
951,-0.45054531012252874,Um Homem de Família,1.0,14,2
201,-0.44982442106360343,Logan,0.0,14,2
78,-0.4497063290144313,Zeus,-1.0,21,2
196,-0.4493466838432818,Manchester by the Sea,-1.0,63,2
340,-0.4483799208521325,Velocidade Furiosa 8,-30.0,21,3
1008,-0.4477182234540893,Pai Há Só Um... Ou Dois,-9.0,21,2
880,-0.4475511773826327,Thor: Ragnarok ,-10.0,14,2
836,-0.44676443858899406,Al Berto,-1.0,14,2
222,-0.4465684276198101,Logan,-9.0,21,2
938,-0.44580200167481054,Blade Runner 2049,-7.0,49,2
495,-0.4444331723435786,Velocidade Furiosa 8,-8.0,70,3
28,-0.4437806914175032,A Encarnação do Mal,0.0,14,2
721,-0.44371287785261415,O Guarda-Costas e o Assassino,-7.0,21,2
268,-0.44297145739339705,Power Rangers,5.0,14,2
195,-0.44258309645098703,Lion - A Longa Estrada Para Casa,3.0,91,2
901,-0.44230076571199095,Thor: Ragnarok ,-14.0,21,2
147,-0.440107313620302,Jackie,-4.0,14,2
40,-0.43944075776525715,Assassin's Creed,-10.0,14,2
378,-0.43881900175066657,Dois é Uma Família,0.0,35,2
478,-0.43880489932816547,O Círculo,-6.0,49,2
475,-0.4382519520692264,O Sentido do Fim,-4.0,21,2
1030,-0.4375767336511768,Roda Gigante,-3.0,14,3
586,-0.4372302134921745,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-18.0,63,2
531,-0.43711970306439196,Churchill,-10.0,21,2
809,-0.43648242135800797,Assassino Americano,-19.0,28,3
776,-0.436427485034675,De Braços Abertos,-2.0,56,2
820,-0.435688040176643,Blade Runner 2049,-1.0,14,2
973,-0.4353265829153349,Rapto,-5.0,21,3
605,-0.43464234716838046,Planeta dos Macacos: A Guerra,-13.0,21,2
77,-0.434400914264102,Na Via Láctea,-2.0,28,2
29,-0.4341867947632133,A Luz Entre Oceanos,5.0,14,2
65,-0.4337771427955447,Nos Limites da Lei,-6.0,14,2
555,-0.4336250879986281,Amor Acima de Tudo,-8.0,28,2
111,-0.43357224184322485,Manchester by the Sea,-5.0,35,2
838,-0.4333242482448364,Elis,-5.0,21,2
717,-0.43299512228283965,Wind River,-2.0,21,2
726,-0.43230896516915984,Annabelle 2: A Criação do Mal,-7.0,35,2
105,-0.4317173789986193,Resident Evil: Capítulo Final,4.0,14,2
307,-0.4314209032185,Juntos Para Sempre,1.0,14,3
221,-0.43138767787936727,Kong: A Ilha da Caveira,2.0,14,2
447,-0.4311578046773322,The Boss Baby,-5.0,56,2
985,-0.42988724454164307,Liga da Justiça,-11.0,28,3
890,-0.42834064607398403,Blade Runner 2049,-38.0,35,2
513,-0.4279794984584575,The Hunter's Prayer - Assassino Contratado,-2.0,14,2
289,-0.4279299371086258,Patrulha de Doidos,-8.0,21,2
462,-0.4278503283276818,Mulher-Maravilha,-26.0,14,2
529,-0.4270141833308486,All Eyez on Me,-2.0,14,2
102,-0.4261882887363613,Silêncio,-1.0,21,2
527,-0.4252897923991241,Girls Night,-20.0,21,2
321,-0.42521176216112433,The Boss Baby,-1.0,14,3
302,-0.4232532817381456,A Bela e o Monstro,-31.0,35,3
461,-0.4228247679314304,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-16.0,21,2
347,-0.4218338396368574,A Bela e o Monstro,-25.0,49,3
930,-0.42131222568035154,Vive,-3.0,14,2
94,-0.4212068332868314,O Nome do Medo,-3.0,21,2
38,-0.4211338714345435,Lion - A Longa Estrada Para Casa,-6.0,35,2
945,-0.420155708313697,Thor: Ragnarok ,-4.0,35,2
589,-0.4195362847000955,Capitão Cuecas - O Filme,-9.0,56,2
135,-0.4182806427839004,Manchester by the Sea,-12.0,42,3
778,-0.4178267865394486,6 Dias,-2.0,14,2
448,-0.41647852772219984,Amarelinho,24.0,21,2
405,-0.41505834422018417,The Boss Baby,-11.0,42,2
858,-0.41465508054505085,Bigfoot Junior,-13.0,49,2
696,-0.4144319049028159,Hampstead: Nunca é Tarde Para Amar,-1.0,14,2
82,-0.4141166811202902,xXx: O Regresso de Xander Cage,4.0,14,2
143,-0.41404932795546723,La La Land: Melodia de Amor,-14.0,28,2
294,-0.4121079787556291,São Jorge,-2.0,35,2
368,-0.4120820916447978,Fátima,5.0,14,2
699,-0.41176231507072014,Adeus Índia,-1.0,56,2
452,-0.4114156816605762,O Sentido do Fim,1.0,14,2
595,-0.4102900626858941,Manhattan Nocturne,-4.0,14,2
958,-0.41020077009690104,A Paixão de Van Gogh,-2.0,42,2
656,-0.40942377832802934,Lady Macbeth,-5.0,28,3
70,-0.40879874399086,Porquê Ele?,-9.0,35,2
521,-0.4083458333301311,Transformers: O Último Cavaleiro,-19.0,14,2
851,-0.40824721885343873,Lego Ninjago - O Filme,-11.0,28,2
432,-0.407373537019055,Ladrões Com Muito Estilo,-2.0,56,2
392,-0.4066637649231388,Fátima,-6.0,21,2
914,-0.40510764726229753,A Paixão de Van Gogh,-5.0,28,2
692,-0.40481976429340927,Dunkirk,-14.0,42,2
819,-0.4023646376084552,A Fábrica de Nada,-4.0,21,3
1028,-0.4022128901604597,Wonder - Encantador,-9.0,21,3
308,-0.40200279755109725,The Last Face - A Última Fronteira,-1.0,14,3
875,-0.40076919775553743,Lego Ninjago - O Filme,-5.0,35,3
967,-0.40001648812290114,Só Para Bravos,-5.0,14,3
624,-0.39995834906828287,Dunkirk,-2.0,21,2
601,-0.39956874748607407,Carros 3,-15.0,14,2
467,-0.39864169935653215,Perdidos,-6.0,28,2
905,-0.39793015369003293,Sete Irmãs,4.0,15,2
260,-0.3963586529208014,A Bela e o Monstro,5.0,21,2
414,-0.3959897795805354,"Amigos Amigos, Telemóveis à Parte",-14.0,21,2
150,-0.39574255656814306,Moonlight,3.0,21,2
271,-0.3954626431794718,Médico de Província,0.0,14,2
518,-0.3946868372142124,A Odisseia,-5.0,21,2
564,-0.3945159775551659,A Múmia,-11.0,42,2
455,-0.39409695357509267,O Círculo,-3.0,42,2
731,-0.39365082639182536,De Braços Abertos,-1.0,42,2
583,-0.39145149530166146,Gru - O Maldisposto 3,-31.0,28,2
845,-0.39134462877585563,Feliz Dia Para Morrer,-4.0,14,2
