,Weekly drop (revenue),Title,Screens (week),Days since premiere
285,-0.2870730871413628,Kong: A Ilha da Caveira,43,35
287,-0.504434815967856,Vida Inteligente,36,21
289,-0.4279299371086258,Patrulha de Doidos,24,21
290,-0.47087124133999136,100 Metros,37,14
291,-0.3216746022751482,Power Rangers,35,21
292,-0.38275862900768187,Logan,25,42
294,-0.4121079787556291,São Jorge,18,35
295,-0.5888401261540386,Negação,14,14
297,-0.5006272101743034,Malapata,16,28
298,-0.18376576281835066,Lego Batman: O Filme,22,56
299,-0.5751319900872751,Médico de Província,18,21
302,-0.4232532817381456,A Bela e o Monstro,109,35
303,-0.6127078516917928,Smurfs: A Aldeia Perdida,69,21
304,-0.3111769256544773,Ladrões Com Muito Estilo,53,14
305,-0.5460163999513783,Ghost in the Shell - Agente do Futuro,64,21
307,-0.4314209032185,Juntos Para Sempre,41,14
308,-0.40200279755109725,The Last Face - A Última Fronteira,22,14
309,-0.2781426864899683,Dois é Uma Família,18,14
310,0.2086628336944516,"Paula Rego, Histórias & Segredos",5,14
311,-0.5786609359761208,Logan,13,49
312,-0.5924324833755594,100 Metros,25,21
313,-0.835081236550266,Kong: A Ilha da Caveira,16,42
314,-0.6755118225977923,Power Rangers,11,28
315,-0.7897768368678527,Vida Inteligente,14,28
316,-0.4792657279301452,São Jorge,10,42
318,-0.4930330063594104,Aquarius,4,35
319,-0.5578094805647367,Negação,5,21
320,-0.46784962200648283,Velocidade Furiosa 8,167,14
321,-0.42521176216112433,The Boss Baby,103,14
322,-0.5343070888717374,A Bela e o Monstro,85,42
323,-0.2488516073244823,Ladrões Com Muito Estilo,54,21
325,0.19963939751253879,Jacinta,30,14
326,-0.5841963333233289,Smurfs: A Aldeia Perdida,63,28
330,-0.5513916293013834,Ghost in the Shell - Agente do Futuro,53,28
331,-0.6396834223029241,Juntos Para Sempre,34,21
332,-0.2611070981219824,"Paula Rego, Histórias & Segredos",5,21
334,-0.46986090660496427,Dois é Uma Família,9,21
335,-0.6385491349755362,The Last Face - A Última Fronteira,9,21
337,0.2433904363660888,Se Deus Quiser,2,14
338,-0.5475265146947732,Logan,9,56
340,-0.4483799208521325,Velocidade Furiosa 8,137,21
342,-0.3229166054678556,The Boss Baby,81,21
345,-0.19944294728401502,Ladrões Com Muito Estilo,36,28
346,-0.09813155826670783,Jacinta,31,21
347,-0.4218338396368574,A Bela e o Monstro,60,49
349,-0.30795443816960166,O Jardim da Esperança,41,14
350,-0.2633662410561458,A Cabana,26,14
351,2.2202054791547106,O Jovem Karl Max,18,14
352,-0.3793964565941429,Kickboxer: A Vingança,30,14
353,-0.6252957979910176,Smurfs: A Aldeia Perdida,31,35
354,-0.544301676647341,Ghost in the Shell - Agente do Futuro,22,35
355,-0.27002221806931204,"Paula Rego, Histórias & Segredos",5,28
356,-0.1607025505585934,Dois é Uma Família,3,28
357,-0.6442233790038477,Juntos Para Sempre,8,28
358,-0.011014604776046433,Se Deus Quiser,2,21
359,-0.19482021201845245,Ma Loute,2,14
360,-0.6072692092460164,Velocidade Furiosa 8,108,28
361,-0.576659563266742,Guardiões da Galáxia Vol.2,88,14
362,-0.5483600009901151,The Boss Baby,83,28
363,-0.5231889612098306,Bailarina,75,14
366,-0.5897916374357438,O Círculo,39,14
367,-0.5770337404616542,Ladrões Com Muito Estilo,33,35
368,-0.4120820916447978,Fátima,31,14
369,-0.6107312992705574,Jacinta,40,28
371,-0.6207691898276289,O Jardim da Esperança,33,21
372,-0.5672659160680553,O Jovem Karl Max,12,21
373,-0.6161657049307954,A Cabana,19,21
374,-0.7412371767673309,A Bela e o Monstro,39,56
378,-0.43881900175066657,Dois é Uma Família,3,35
379,-0.8197438827886164,Kickboxer: A Vingança,16,21
381,-0.2960502491482899,Velocidade Furiosa 8,75,35
382,0.060608412762807706,The Boss Baby,75,35
